"CODGEO","nom_commune","pop_tot","year_data"
"02241","La Croix-sur-Ourcq",105,2017
"02242","Crouttes-sur-Marne",647,2017
"02243","Crouy",2905,2017
"02244","Crupilly",64,2017
"02245","Cuffies",1789,2017
"02246","Cugny",606,2017
"02248","Cuirieux",157,2017
"02249","Cuiry-Housse",102,2017
"02250","Cuiry-lès-Chaudardes",76,2017
"02251","Cuiry-lès-Iviers",28,2017
"02252","Cuissy-et-Geny",71,2017
"02253","Cuisy-en-Almont",355,2017
"02254","Cutry",128,2017
"02255","Cys-la-Commune",143,2017
"02256","Dagny-Lambercy",125,2017
"02257","Dallon",436,2017
"02258","Dammard",379,2017
"02259","Dampleux",398,2017
"02260","Danizy",650,2017
"02261","Dercy",391,2017
"02262","Deuillet",216,2017
"02263","Dhuizel",114,2017
"02264","Dizy-le-Gros",747,2017
"02265","Dohis",99,2017
"02266","Dolignon",49,2017
"02267","Dommiers",289,2017
"02268","Domptin",654,2017
"02269","Dorengt",154,2017
"02270","Douchy",162,2017
"02271","Dravegny",132,2017
"02272","Droizy",75,2017
"02273","Dury",222,2017
"02274","Ébouleau",200,2017
"02275","Effry",324,2017
"02276","Englancourt",122,2017
"02277","Épagny",340,2017
"02278","Éparcy",30,2017
"02279","Épaux-Bézu",556,2017
"02280","Épieds",392,2017
"02281","L'Épine-aux-Bois",261,2017
"02282","Eppes",417,2017
"02283","Erlon",284,2017
"02284","Erloy",97,2017
"02286","Esquéhéries",858,2017
"02287","Essigny-le-Grand",1022,2017
"02288","Essigny-le-Petit",344,2017
"02289","Essises",417,2017
"02290","Essômes-sur-Marne",2776,2017
"02291","Estrées",412,2017
"02292","Étampes-sur-Marne",1253,2017
"02293","Étaves-et-Bocquiaux",557,2017
"02294","Étouvelles",213,2017
"02295","Étréaupont",859,2017
"02296","Étreillers",1208,2017
"02297","Étrépilly",118,2017
"02298","Étreux",1459,2017
"02299","Évergnicourt",570,2017
"02302","Faverolles",317,2017
"02303","Fayet",654,2017
"02304","La Fère",2859,2017
"02305","Fère-en-Tardenois",3053,2017
"02306","La Ferté-Chevresis",542,2017
"02307","La Ferté-Milon",2085,2017
"02308","Fesmy-le-Sart",486,2017
"02309","Festieux",680,2017
"02310","Fieulaine",256,2017
"02311","Filain",129,2017
"02312","La Flamengrie",1118,2017
"02313","Flavigny-le-Grand-et-Beaurain",468,2017
"02315","Flavy-le-Martel",1687,2017
"02316","Fleury",136,2017
"02317","Fluquières",220,2017
"02318","Folembray",1386,2017
"02319","Fonsomme",469,2017
"02320","Fontaine-lès-Clercs",250,2017
"02321","Fontaine-lès-Vervins",913,2017
"02322","Fontaine-Notre-Dame",389,2017
"02323","Fontaine-Uterte",127,2017
"02324","Fontenelle",277,2017
"02326","Fontenoy",489,2017
"02327","Foreste",165,2017
"02328","Fossoy",524,2017
"02329","Fourdrain",419,2017
"02330","Francilly-Selency",474,2017
"02331","Franqueville",113,2017
